also_sub_1,also_sub_2,also_sub_3,also_sub_4,also_sub_5,by,genre,more_by_1,more_by_2,more_by_3,more_by_4,more_by_5,num_ratings,podcast_name,rating,show_desc,subgenre,website
gunsmoke,Old Time Gunsmoke Radio,Gunsmoke Podcast,Gunsmoke Podcast,Western Wednesday ; Classic Westerns,Andrew Rhynes,Arts,Old Time Radio Westerns,Challenge of the Yukon - OTRWesterns.com,Tales of the Texas Rangers - OTRWesterns.com,Have Gun Will Travel - OTRWesterns.com,,22,Gunsmoke - OTRWesterns.com,4.81818,"Gunsmoke was a long-running old-time radio and television Western drama program set in Dodge City, Kansas during the settlement of the American West. The radio show first aired on April 26, 1952 and ran until June 18, 1961 on the CBS radio network. The series starred William Conrad as Marshal Matt Dillon, Howard McNear as Doc Charles Adams, Georgia Ellis as Kitty Russell, and Parley Baer as Deputy Chester Proudfoot. Doc?s first name and Chester?s last name were changed for the television program. Gunsmoke was notable for its critically acclaimed cast and writing, and is commonly regarded as one of the finest old time radio shows. Some listeners have argued that the radio version of Gunsmoke was far more realistic than the television program. Episodes were aimed at adults, and featured some of the most explicit content of the day: there were violent crimes and scalpings, massacres and opium addicts. Miss Kitty?s occupation as a prostitute was made far more obvious on the radio version than on television. Many episodes ended on a down-note, and villains often got away with their crimes.",Performing Arts,http://www.otrwesterns.com/gunsmoke/
DJ Mark Picchiotti Mix Series,THE PERFECT MIX™ :: EVERY WED OF EACH MONTH @ 8PM ET (GMT-4) :: MINIMALIXTIX™ :: SECOND TUE OF EACH MONTH @ 12 ET (GMT-4) :,,,,DJ Ferro,Arts,,,,,,13,casadeferro.com,4.61537,"who is ricardo ferro? Ricardo is also known as DJ Ferro since his debuts in the world of djing, bringing us back to 1988. Very loyal to the electronic culture club since then, Ferro has become a key name of the Portuguese underground music scene. Born in Lisbon in 24th April 1973, he spent his early days in the well-known region of Algarve, southern Portugal. When he turned 18 years old he moved back to Lisbon on his own, not only because the attraction of the big city life but mainly because of his strong desire of getting to know artists and people involved in the dance scene. He was eager to make a breakthrough as well as establishing his style and own sound to a bulky audience. It was only a matter of time, for those who remember, before his name started circulating around the elite and was being offered to playing in such places like: Locomia, Rocks, ZONA+, Coconuts, Plateau, Alcantara-Mar amongst others. When still working in the record shop Bimotor in charge of the imports, he formed a collective with A.paul and Wogz, two successful Techno Dj?s in Portugal, which would lead to the creation of a specific Portuguese techno label - Squeeze Records. Squeeze 001 ( A.paul & Ferro) appeared to be the so much wanted breakthrough, a smash! The right music was released at the right time and obviously the interest of the public kept growing. The next step was a very much awaited and acclaimed Compilation. Outside Portugal boundaries the success was discreet but flourishing. The German distributor Neuton shipped Squeeze around Europe and DJs like Sven Vath, Chris Liebing and Hardfloor charted it. At a certain point, during the ?boom? of dance music in Portugal, X-Club acknowledged his work with a invitation to be one of the X artists, were he finally was able to set up his career. Places like Colombia and Slova?quia, playing with DJs like Carl Cox, Jeff Mills, Dave Clarke, Richie Hawtin, The Advent, Mike Dearborn, DJ Rush, Derrick Carter, Dave Angel, Darren Price, Stacey Pullen, DJ Sneak, Green Velvet, Josh Wink, Damon Wild, Steve Stoll, Adam Beyer, Ben Long and many others, are common to him. Today Ricardo Ferro is the Label Manager of FAROL, the label of Media Capital and also the exclusive distributor of Warner Music in Portugal. His love for production is still alive, and he regularly delivers his new material. He also keeps his agenda full with gigs in Portugal and abroad. In less than a decade, Ricardo Ferro managed to impose his fresh sound and smooth style with a clever blend of Techno, Techouse, Hardhouse, Progressive House, House and even Electro, his recent collaboration with Mourah under the project Echosonic is an example of it. Year after year he proves to his faithful audience to be an innovative, versatile and open-minded artist. One who deserves all the respect he has been rewarded with. ricardo ferro discography Released A.Paul & Ferro ""Squeeze Gently Ep"" (Squeeze001) Dj Ferro ""Shakuachi Ep"" (Squeeze007) Dj Ferro ""Blue Vibration"" (WorldMusicLP001) Dj Ferro ""Juicy Kisses"" (upfront) Dj Ferro ""Fire ep"" (Naked Lunch 008) Dj Ferro ""Moribayassa EP"" (Naked Lunch 025) Dj Ferro ""Especial"" (Parallel 125 - &035;28) Remixes Mesa ""Divagadora"" Viper ""Sanzala"" (Squeeze) Humanoyd ""Mr Galaxy"" (Squeeze) Dj Wogz ""Gloopuk"" (Squeeze) As a producer Oscar Baia ""Z"" (Squeeze) mixed CDs by ricardo ferro Squeezed Hardheads (Squeeze Records / MCA) The G Spot (Genesis / Zona Musica) Secret Society mixed by A. Paul & Ferro (nova zona) ? echosonic discography (ferro & mourah) Original echosonic ""wont I"" (LCR) Remixes Mourah ""Os Mudos do Vale"" (Nova Zona) DJ mixed CDs by echosonic LCR sample (LCR / DANCE CLUB)",Performing Arts,http://www.casadeferro.com/
Darker Projects: Generation 1,Darker Projects: Far Horizons,Darker Projects: The Falcon Banner,Darker Projects: Lilith's Children,Darker Projects: Dark Matter,DarkerProjects.com,Arts,,,,,,8,Darker Projects: Sword of Windsor,3.625,"A Science Fiction Audio Mini-Series in Christopher Patrick Lydon's The Falcon Banner universe: By the 22nd century, mankind had stretched forth its hand to command the stars. But then came the war with the Amsus. And the Terran Empire was brought to ruin.Now humanity is nothing more than a defeated and conquered race. Yet even in these dark and oppressive times The hope for freedom still burns bright.",Performing Arts,http://swordofwindsor.blogspot.com/
Royal Shakespeare Company Podcast,Shakespeare-upon-iPod,BardCast: The Shakespeare Podcast,The Shakespeare Underground,Will@Warwick - insights into the work of William Shakespeare,American Shakespeare Center,Arts,,,,,,13,American Shakespeare Center Podcast Central,4.53845,"Blackfriars Backstage Pass A fun, informative, off-the-cuff discussion series involving American Shakespeare Center Executive Director Dr. Ralph Alan Cohen and members of the ASC acting troupe as they explore literary devices, characterization, acting and directorial choices, and more for each of the plays currently appearing on the stage of the American Shakespeare Center?s Blackfriars Playhouse in Staunton, VA. Each edition of Backstage Pass also serves as a useful and enjoyable tool for teachers and students studying Shakespeare and Renaissance drama.",Performing Arts,http://americanshakespearecenter.blogspot.com/
Genesis Avalon by Pendant Productions,Tabula Rasa by Pendant Productions,The Kingery by Pendant Productions,Red Sands Investigations by Pendant Productions,Once Upon a Time in Vegas by Pendant Productions,Pendant Productions,Arts,,,,,,18,The Line by Pendant Productions,4.66667,"""The Line"" is a serialized, full-cast fantasy radio drama with one new episode every month.",Performing Arts,http://www.pendantaudio.com/
FT Alphachatterbox,The Economist: Culture,Monocle 24: The Monocle Arts Review,Monocle 24: The Curator,The 1843 podcast,Financial Times,Arts,FT News,FT Money Show,FT World Weekly,FT Banking Weekly,FT Listen to Lucy,N/A,FT Life of a Song,N/A,"Each week we bring you the story of a song, from its origins and early recordings through cover versions good and bad. Each episode is written and presented by an FT music critic or contributor. Formerly called FT Arts.",Performing Arts,http://www.acast.com/ft-arts
Upbeat Live,BSO 2016/17 Season - Concert Previews,CSO Audio Program Notes,Barbican Classical Music,The Naxos Blog,(Philharmonia Orchestra) podcast@philharmonia.co.uk,Arts,Philharmonia Orchestra Backstage Pass,,,,,6,Philharmonia Orchestra Video Podcasts,4.66667,"Our monthly series of video podcasts takes you behind the scenes with the Philharmonia Orchestra, including interviews with conductors, soloists and listening guides to famous pieces from the classical repertoire.",Performing Arts,http://www.philharmonia.co.uk/explore/films/
Darker Projects: Sword of Windsor,Darker Projects: Far Horizons,Darker Projects: Dark Matter,Darker Projects: Five Minute Fears,Darker Projects: Lilith's Children,DarkerProjects.com,Arts,,,,,,8,Darker Projects: Generation 1,4.0,"In the year 2115, the Earth went mad. Now hundreds of young people awaken from stasis to a new world, ready to create a new world out of the shattered remains of the old. Original science fiction audio theater from DarkerProjects.com.",Performing Arts,http://darkerprojects-generation1.blogspot.com/
Sample Size: 1,Tape,Bone Lab Radio,HowSound,ARRVLS,Stephanie Foo,Arts,,,,,,16,Pilot,5.0,The podcast where every episode is a new possibility.,Performing Arts,http://soundcloud.com/stephaniefoo
Our Miss Brooks,fibber mcgee and molly,andrews sisters,Father Knows Best Podcast,Father Knows Best Podcast,www.botar.us,Arts,,,,,,15,baby snooks,4.53333,"The Baby Snooks Show was an American radio program starring Fanny Brice as a mischievous young girl. The series began on CBS September 17, 1944, airing on Sunday evenings as Toasties Time. The title soon changed to The Baby Snooks Show, and was sometimes called Baby Snooks and Daddy. On November 9, 1949, the series moved to NBC where it was heard Tuesdays.",Performing Arts,http://www.botar.us/babysnooks.html
,,,,,Jacob LaPointe,Arts,,,,,,14,"I Took The ""L"" Out of Elmo",2.64286,Sabin Schellenberg / Barnes,Performing Arts,http://jpointe.podbean.com/
The Magic Word - For Magicians About Magicians By A Magician,"iTricks.com Magic News, Magic Videos and Podcasts",The Magicians' Podcast,Two Magicians. One Mic.,The Magic State of Mind,Dodd Vickers,Arts,,,,,,23,The Magic Newswire,4.43478,The original magic news and information podcast from the oldest magic news website online. The Magic Newswire Spirit of Magic podcast is the place for interviews with all of your favorite magicians.,Performing Arts,http://magicnews.libsyn.com/
Magicman's Podcast - Magic Secrets Revealed,"iTricks.com Magic News, Magic Videos and Podcasts",The Magic Newswire,The Magic State of Mind,Two Magicians. One Mic.,"OneMinuteU, LLC",Arts,"Videos about Intimacy / Relationships on OneMinuteU: Download, Upload & Watch Free Instructional, DIY, howto videos to Improve","Videos about Fitness and Work Out on OneMinuteU: Download, Upload & Watch Free Instructional, DIY, howto videos to Improve you","Videos about Arts & Crafts on OneMinuteU: Download, Upload & Watch Free Instructional, DIY, howto videos to Improve your Life!","Videos about Motivation & Inspiration on OneMinuteU: Download, Upload & Watch Free Instructional, DIY, howto videos to Improve",,9,"Videos about Magic/Party Tricks on OneMinuteU: Download, Upload & Watch Free Instructional, DIY, ho...",3.22222,"Learn how to perform magic! Card tricks, slight of hand, and more!",Performing Arts,http://www.oneminuteu.com/default.taf?page=search&search_mode=category&catid=18&sort_by=upload_timestamp
Arkham Sanitarium,ASMR HQ Podcast,The ASMR Podcast,ASMR Newscast,"Sleep with Silk: ASMR Triggers (to help insomnia, anxiety, stress, relax, focus, meditate, ASMR)",Ephemeral Rift,Arts,,,,,,24,EphemRadio,4.91667,"Hosted by Ephemeral Rift himself, this podcast (or variety show) will contain anything from serious often philosophical topics (avoiding religion and politics) to improvised character performances, and much more!",Performing Arts,http://ephemeralrift.libsyn.com/podcast
,,,,,Jesse Haynes: Science Fiction Novelist,Arts,,,,,,23,The Others,4.82609,"When Aaron Winchell's plane crashes into the ocean, he is washed on a small island in the Pacific. Winchell is the only survivor of the wreck, other than an old-timey voice recorder. In an attempt to keep a level of sanity, the man of mystery begins to record journalistic summaries of his stint on the island. It is his way to fight of the loneliness. ...Except he isn?t alone. The longer Aaron is on the island, the more mysteries he unlocks. Why does he feel like he is being watched? Who are the shadowy humanoid figures he continues to see lurking in the trees? What dark secrets does the island conceal? And the biggest mystery of all--how does Aaron Winchell fit into all of it?",Performing Arts,http://www.theotherspodcast.com/
JAZZ EAR TRAINING,JazzStories,Jazzpath podcasts: Lessons on exploring jazz improvisation,Jazz Piano School,The 10 Minute Jazz Lesson Podcast,"Brent Vaartstra: Jazz Musician, Author, and Entrepreneur",Arts,,,,,,12,"Learn Jazz Standards Podcast: Jazz Tips, Advice, and Jazz Discussions!",5.0,"Tune in to the LJS Podcast for jazz tips, advice, and other jazz discussions! This is a weekly podcast that is produced by Learn Jazz Standards and is hosted by Brent Vaartstra.",Performing Arts,https://www.learnjazzstandards.com/
Horror In The Air,Horror Stories,Old Time Suspense Radio,Old Time Science Fiction Radio,inner sanctum,BestFreeAudiobook.com,Arts,,,,,,N/A,Old Time Horror Radio,N/A,Great old time horror radio. Sponsored by BestFreeAudiobook.com This Podcast was created using www.talkshoe.com,Performing Arts,http://www.talkshoe.com/talkshoe/web/tscmd/tc/19649
Unnatural Acts of Opera,Trove Thursday,OperaNow!,Arias and Songs,Opera Box Score,Charles Handelman,Arts,,,,,,17,handelmania's Podcast,4.76471,"Great operas and great singers, hosted by Charles Handelman.",Performing Arts,http://handelmania.libsyn.com/
Greater Boston,The Bridge,Jim Robbie and the Wanderers,Hector vs The Future,The Elysium Project,Ryan Estrada,Arts,,,,,,34,Big Data,4.64706,"What if someone stole the internet? This comedy caper takes 100% real concepts, like the seven keys to the internet, cyber police, relay calls, photocopier black boxes, 419 scams, and more, and turn it into an anthology of nerdy crime stories tied together by a global plan to end the internet. it's a series of heists ranging from hijacking top secret military satellites, to stealing a dude's pants. Features 73 actors from all over the world, including Paul F. Tompkins, Felicia Day, Jemaine Clement, Samm Levine, Amy Stoch and more!",Performing Arts,http://www.bigdata.show/
Quick Audio by Pendant Productions - a webcomic in audio form,Active Radioactive Radio - Brought to you by Pendant Productions,Seminar: An original anthology show by Pendant Productions,Tabula Rasa by Pendant Productions,The Kingery by Pendant Productions,Pendant Productions,Arts,,,,,,20,TWIP! by Pendant Productions,4.44998,"More news about Pendant Productions than you can shake a stick at! Casting calls, preview trailers, interviews and more!",Performing Arts,http://www.pendantaudio.com/
Tell Podcast,West Chester Story Slam,Story Salon Podcast,The Stoop Storytelling Series,2nd Story,I Love A Good Story,Arts,,,,,,6,I Love A Good Story Podcast,4.66667,"I Love A Good Story brings together the best storytellers, spoken word artists and singer/songwriters in Los Angeles, California for a monthly podcast. Sit back and enjoy as you experience personal stories told by those who experienced them and original live music. Want more? Visit our website to access our full archive of previous performances! Produced by Lauri Fraser and Jack Freiman.",Performing Arts,http://www.iloveagoodstory.com/
Mr. Malone – The Great Detectives of Old Time Radio,The Fat Man – The Great Detectives of Old Time Radio,Philip Marlowe – The Great Detectives of Old Time Radio,The Line Up – The Great Detectives of Old Time Radio,The Great Detectives of Old Time Radio » Call the Police,Adam Graham,Arts,Podcast – The Great Detectives of Old Time Radio,Yours Truly Johnny Dollar – The Great Detectives of Old Time Radio,Sherlock Holmes – The Great Detectives of Old Time Radio,Nero Wolfe – The Great Detectives of Old Time Radio,Video Theater – The Great Detectives of Old Time Radio,N/A,Nick Carter ? The Great Detectives of Old Time Radio,N/A,"Lon Clark plays Nick Carter, the greatest of all manhunters, who appeared in countless books, three movies, and for 12 years in this radio series featuring his unusual adventures.",Performing Arts,http://www.greatdetectives.net/detectives
Darker Projects: Generation 1,Darker Projects: Dark Matter,Darker Projects: Sword of Windsor,Darker Projects: Night Terrors,Darker Projects: Far Horizons,DarkerProjects.com,Arts,,,,,,5,Darker Projects: Five Minute Fears,4.59999,"From the group that brought you Night Terrors comes Five Minute Fears. We've taken horror and suspense and brought it to you in bite sized chunks. Want to enjoy a chiller, thriller or a killer, but don't have the time for a half hour show, then enjoy our series of mini shows that will keep you on the edge of your seat right from the beginning. We present, for an audio snack, a series of 3 to 7 minute plays in the horror and suspense genres. Descriptions of violence and/or coarse language are included in some productions. Parental supervision is strongly advised.",Performing Arts,http://fiveminutefears.blogspot.com/
The Fat Man – The Great Detectives of Old Time Radio,The Line Up – The Great Detectives of Old Time Radio,The Great Detectives of Old Time Radio » Call the Police,Philip Marlowe – The Great Detectives of Old Time Radio,Mr. Malone – The Great Detectives of Old Time Radio,Adam Graham,Arts,Podcast – The Great Detectives of Old Time Radio,Yours Truly Johnny Dollar – The Great Detectives of Old Time Radio,Sherlock Holmes – The Great Detectives of Old Time Radio,Nero Wolfe – The Great Detectives of Old Time Radio,Video Theater – The Great Detectives of Old Time Radio,19,Pat Novak for Hire ? The Great Detectives of Old Time Radio,4.21052,"The Great Detectives of Old Time Radio's Pat Novak series, featuring 18 episodes of Pat Novak and two episodes of Johnny Madero, all starring Jack Webb.",Performing Arts,http://www.greatdetectives.net/detectives
The Tunnels Podcast,The Box Podcast,SPINES Podcast,Tales of THATTOWN,Diary Of A Madman,Lane Lloyd,Arts,,,,,,20,SABLE,4.8,"Every week, Lane comes to you with another tale from the odd town of Sable. Tune in to find out some of it's deepest, darkest secrets as well as some of it's..well, rather odd figures.",Performing Arts,http://sable.libsyn.com/podcast
Pod4Ham - a podcast about the musical Hamilton,The Hamilcast: A Hamilton Podcast,Hamilton the Podcast,Alexander Hamilton,The Room Where It's Happening: A Hamilton Fan Podcast,Brittani Nichols and Khalehla Rixon,Arts,,,,,,25,Hamilton The Podcast,4.32,Hamilton The Podcast is a weekly podcast with Brittani Nichols and Khalehla Rixon that dissects the songs in Hamilton The Musical although neither one has seen a performance. Art by Marlo Meekins To contact Brittani and Khalehla email HamiltonThePodcast@gmail.com,Performing Arts,http://soundcloud.com/hamiltonthepodcast
Shimmy Cast,Taktaba in Low-Res,Bellydance by Yvonne,YIP Podcast,Cafe Bellydance,Nadira Jamal,Arts,,,,,,27,Taktaba,4.7037,"Taktaba: a video podcast on dance composition for belly dancers. Nuryev defined four elements of choreography: space, shape, time, and energy. Whether you create your choreography in advance or improvise it, these elements define your dance. Join me as I use themes to explore these elements.",Performing Arts,http://taktaba.blogspot.com/
The Tunnels Podcast,A Scottish Podcast | The Audio Drama Series,Atheist Apocalypse,Subject: Found,SABLE,Brian Bristol,Arts,,,,,,35,You Are Here SciFi Audio Drama,4.8857,"Welcome to the first SciFi choose your own adventure audio drama podcast. We hope to provide you with a beautiful soundscape, voice acting and exceptional writing. Enjoy.",Performing Arts,http://youarehere.libsyn.com/podcast
Misfits Audio Presents: Strange Stories,MisfitsAudio Productions » Jim Nolan Private Eye,Darker Projects: Five Minute Fears,Darker Projects: Far Horizons,Darker Projects: Night Terrors,webmaster@darkerprojects.com,Arts,,,,,,19,Tales From The Museum,4.52632,An audio theater miniseries written by Charles Russell,Performing Arts,http://darkerprojects-tales-from-the-museum.blogspot.com/
Tango Eternal!,Tango ABC Podcast,Tango Angeles,Ballroom Dance Champions - Video Podcast,Mano a mano con el tango,"Knowledge Environments, Inc.",Arts,,,,,,26,Dario's Tango Guide,4.23076,Dario's tango guide will help improve your dancing.,Performing Arts,http://dariostangoguide.blogspot.com/
Tabula Rasa by Pendant Productions,The Kingery by Pendant Productions,Genesis Avalon by Pendant Productions,The Dixie Stenberg and Brassy Battalion Adventure Theater by Pendant Productions,Once Upon a Time in Vegas by Pendant Productions,Pendant Productions,Arts,,,,,,N/A,Henderson and Havner by Pendant Productions - a short format comedy audio drama,N/A,A short-format comedy audio drama. He's a cop! She's a reporter! They're both crazy.,Performing Arts,http://www.pendantaudio.com/
The Big Broadcast,ComicWeb Old Time Radio Programs,Old Time Radio DVD,Let George Do It – The Great Detectives of Old Time Radio,Box 13 – The Great Detectives of Old Time Radio,MisfitsAudio,Arts,,,,,,6,Old Time Radio,4.66667,"This is a project that started because it seemed to me like all the OTR available online was either a bit disorganized, or hadn't been cleaned so was difficult to listen to. While I am not going to spend hours of my time working on the episodes, I find that even running a few quick filters on classic radio shows makes a huge difference. I'll begin with one of my favourite series': Bold Venture starring Humphrey Bogart and Lauren Bacall. If you don't know who they are... google now! You're missing out on some of the best movies ever made.",Performing Arts,http://misfitsaudio.com/comments
The Daily Purge,Musings of a Tech Writer Podcast,Catching Up,The Smellcast,Pink WheelNuts,Bill Phair,Arts,,,,,,43,JudyCast: The Entertainment Beat with Frances Gumm,4.81395,"21st century, meet Judy Garland. Since its launch in 2005, JudyCast has brought Judy Garland (Frances Gumm) to podcast audiences around the world in an affectionate pop culture surreality that Zachary Woolfe of The New York Times calls ""hilarious, ingenious, uncanny, unmissable!"" Solely produced and performed by Bill Phair, this heartfelt and comically absurd satire features dozens of legendary guests (from Carol Channing to Daniel Radcliffe) who join Judy and her co-host Roger Darling for an indescribable audio romp celebrating all things Broadway, film and TV.",Performing Arts,http://www.judycast.com/
Lady Business Radio with Jessica Kupferman,The Sarah R. Bagley Podcast,A Better Life w/ Rachel Rofe - Practical personal development for an amazing life + business,Raise Your Hand Say Yes with Tiffany Han,Arts and Healing Podcast,Jamie Ridler,Arts,,,,,,28,Creative Living with Jamie,4.85714,"Coach Jamie Ridler talks to creative, independent spirits in order to bring you inspiration, stories and strategies for bringing creativity to life.",Performing Arts,http://www.jamieridlerstudios.ca/
The Fat Man – The Great Detectives of Old Time Radio,Old Time Perry Mason Radio,The Line Up – The Great Detectives of Old Time Radio,The Great Detectives of Old Time Radio » Call the Police,Philip Marlowe – The Great Detectives of Old Time Radio,Adam Graham,Arts,Podcast – The Great Detectives of Old Time Radio,Yours Truly Johnny Dollar – The Great Detectives of Old Time Radio,Sherlock Holmes – The Great Detectives of Old Time Radio,Nero Wolfe – The Great Detectives of Old Time Radio,Video Theater – The Great Detectives of Old Time Radio,7,Thin Man ? The Great Detectives of Old Time Radio,4.14286,The Old Time Radio adventures of the Thin Man including the two Lux Radio Theater presentations and eight episodes from the 1941-48 radio series.,Performing Arts,http://www.greatdetectives.net/detectives
Doctor Who: Infinity Doctors,Doctor Who (Legacy),Doctor Who » The BrokenSea Series – Podcast Feed,DAM Doctor Who The Audio Adventure Series,Doctor Who Fan Audio Adventures,info@crossovers.org,Arts,,,,,,N/A,Crossover Adventure Productions,N/A,"A series of unofficial audio dramas. Featuring ""The Chronicles of Oz"" (based on the works of L Frank Baum) and the ""Doctor Who Crossover Adventures""",Performing Arts,http://www.crossovers.org/
DoubleDownFilmShow,Film Method,Filmmakers Podcast,The Cutting Room,New Mediacracy,Norman Hollyn and Larry Jordan,Arts,,,,,,6,2 Reel Guys - The Art of Visual Story-telling,4.33333,"Dedicated to the creative process of visual storytelling, 2 Reel Guys shows that telling a good story doesn?t require a lot of money, a lot of gear, or a lot of people. Mainly, you just need the knowledge of how to shape the story into something other people want to watch. Norman Hollyn heads the Editing Track at the University of Southern California (USC) School of Cinematic Arts. Larry Jordan is a world-renowned digital media trainer, lecturer and Final Cut Studio expert. Each show illustrates a single storytelling concept in less than 10 minutes. New shows are posted every two weeks. Drop us a note and let us know what you think and what you?d like us to cover. www.2ReelGuys.com.",Performing Arts,http://2reelguys.com/
So Well Spoken,This Week,Black Astronauts Podcast Network,Secret Skin ® – Infinite Guest Podcast Network,"MMHMM, GIRL",Errthang Show!,Arts,,,,,,19,Errthang Show!,5.0,"For his latest project, Al Letson takes all the things that are floating in his head and turns it into a mixtape of delight for you. Errthang is just that, everything from storytelling to radio drama, pop culture reviews to interviews with some of the most interesting people on the planet. It's a vehicle to showcase all of Letson's other talents. The podcast will give you errthang you need, beginning in May of 2015.",Performing Arts,http://www.acast.com/errthangshow
Acting For Your Life,Acting Is... » Notes on Acting,Inside Acting,Acting Coach Dan Rodandan Teaching Actors How To Act,Acting without the Drama,Acting without the Drama,Arts,,,,,,14,Acting without the Drama (iPod),5.0,Acting without the Drama delves into the practical ways that actors can approach the craft of acting in order to create magic in their performances.,Performing Arts,http://actingwithoutthedrama.blogspot.com/
"Advanced Vocal Exercises | Singing tips for training and repairing your singing voice | voice lessons, singing lessons, vocal t","Sing Better In 3 Days; Voice Lessons, Singing Lessons and Tips About Singing","All Things Vocal: Podcast for Singers, Speakers, Voice Coaches and Producers",The Intelligent Vocalist,Singing Lessons With Doc!,Chris Johnson and Steve Giles,Arts,,,,,,18,"The Naked Vocalist | Advice and Lessons on Singing Technique, Voice Care and Style - Chris Johnson a...",4.88888,"Every two weeks The Naked Vocalist will delve into the world of singing with industry experts, questions from listeners and specialist episodes. The topics are wide and range from singing technique, style, health, performance, teaching and careers. Hosted by VIP authorised instructors Chris Johnson & Steve Giles, the podcast holds nothing back and aims to give valuable and cutting edge techniques and advice helpful to singers at any stage of their development. Hopefully you will enjoy the series and find it useful. Please do leave us a star rating and/or review if like the show. Thank you!",Performing Arts,http://thenakedvocalist.podbean.com/
The Honest Actors' Podcast,Royal Court Playwright's Podcast,My Own Shakespeare,Front Row,Acting,National Theatre,Arts,Actors in Conversation,Playwrights in Conversation,Directors in Conversation,,,5,National Theatre: Podcasts,4.59999,"Welcome to our podcast collection featuring live recordings from National Theatre events including performances, discussions and interviews with people such as Danny Boyle, James Corden, Peter Hall and Julie Walters. This collection is updated regularly with content on current productions and events, as well as some treasures from our archive.",Performing Arts,http://www.nationaltheatre.org.uk/
Guitar Tone Network,Gear for Guitar,Six String Bliss: The Guitar Podcast,Podcast - Guitar Nerds,The Guitar Channel,Wade's Guitar Shop,Arts,,,,,,30,The Guitar Shop Podcast,4.33333,"Wade's Guitar Shop is a small, brick and mortar shop in Milwaukee, Wisconsin. Since 1989 we have been selling, buying, trading, and repairing guitars for the music community. Alex and Wade are your inside guys and once a month they get together in front of the cameras to talk about guitars, effects, amps, repair tips, and anything else ""guitar"". Each episode is less than an hour and won't bore you to tears. If you love guitar shops, this is the show for you.",Performing Arts,http://www.wadesguitarshop.com/Podcast/GuitarShopPodcastHome.html
The Magic Newswire,The Magicians' Podcast,Magician Business – Marketing for magicians and performing artists,Two Magicians. One Mic.,Successful Performercast by Kris Sheppard | Successful Performer Cast | Weekly Interviews with Professional Entertainers | Show,Scott Wells,Arts,,,,,,33,The Magic Word - For Magicians About Magicians By A Magician,4.87879,"Scott Wells is a full time professional magician who has traveled around the world where he has met, worked with and become friends with some pretty cool people. Enjoy listening to these podcasts with magicians talking about their magic, magic conventions and what's going on in the magic scene today.",Performing Arts,https://www.themagicwordpodcast.com/
Robin Roberts: Everybody's Got Something,Half Size Me,Proverbs 31 Ministries,Making Oprah,Katie Couric,Delilah,Arts,,,,,,N/A,Conversations with Delilah,N/A,"Delilah's known to radio listeners nationwide for her ability to match the perfect song with the perfect occasion and phone call on her evening radio program. Now hear Delilah in conversation mode, without the music, sharing her thoughts and full conversations with you in this podcast. She inspires, she laughs, she cries, she interviews musicians, actors and others making a difference in this world. It's all part of a program podcast listeners are calling Conversations with Delilah.",Performing Arts,https://art19.com/shows/conversations-with-delilah
Diary Of A Madman,SPINES Podcast,Passage,The Tunnels Podcast,Tales of THATTOWN,Paul Sating,Arts,,,,,,17,Subject: Found,4.94118,"Jared Strong is chasing a monster that has haunted him since his childhood. Will he find it? What happens if he does? We have an extensive, private library of some of the darkest and most shocking pursuits of monsters that have haunted humankind throughout our history. Stories about legend, lore, the paranormal and all things dark and mysterious. These are our stories. Each season we will feature a new, thrilling story. All that is lost must be found!",Performing Arts,http://found.libsyn.com/podcast
The Tunnels Podcast,The Box Podcast,SABLE,You Are Here SciFi Audio Drama,SPINES Podcast,Jester's Baffies Productions,Arts,,,,,,14,A Scottish Podcast | The Audio Drama Series,4.85714,"'A Scottish Podcast' is a serialised modern audio drama. When washed up radio DJ Lee finds himself ""between jobs"" he decides to launch a paranormal investigative podcast series, inspired by the likes of 'The Black Tapes', 'The Message', and 'Limetown'. Enter 'The Terror Files'. Aided by his long suffering sidekick, struggling musician Dougie, the pair embark on their first investigation - by heading down into a newly uncovered vault underneath Edinburgh's old town. Lee is prepared to sprinkle a bit of fiction into his reporting to keep things lively. But it soon becomes clear that these long forgotten tunnels harbour a secret far darker than he ever could've hoped to conjure up with his own imagination. This is a dramatised work of fiction with colourful language. Not for the easily offended.",Performing Arts,http://scottishpodcast.libsyn.com/podcast
American Shakespeare Center Podcast Central,Shakespeare-upon-iPod,BardCast: The Shakespeare Podcast,Will@Warwick - insights into the work of William Shakespeare,The Shakespeare Underground,Jane Markham,Arts,,,,,,N/A,Royal Shakespeare Company Podcast,N/A,The Royal Shakespeare Company has launched its most ambitious project ever - The Complete Works Festival which runs until April 2007. And there is more to it than the plays - this podcast is just a taster to what will be going on in Stratford Upon Avon in the coming months.,Performing Arts,http://www.podcats.co.uk/
Improv Resource Center Podcast,Improv Obsession - Conversations About Improvising Better,Improv Nerd With Jimmy Carrane,Improv Yak,Talking Shop: An Improv Podcast with Brian Gray,Chicago Improv Associates,Arts,Dan Carlin's Hardcore History,Common Sense with Dan Carlin,PODRUNNER: Workout Music,Learn Spanish - Survival Guide,Learn French with daily podcasts,14,Zenprov,5.0,"Marshall Stern and Nancy Howland Walker host a series of podcasts about the art of Improvisational Acting in general and Zenprov, how Zen thought relates and helps you as an actor, in particular.",Performing Arts,http://cia.libsyn.com/
